,source,target,value
0,1945.[22]Russo-Japanese War,the Empire of Japan,6
1,Afghanistan,Cuba,6
2,Afghanistan,Egypt,5
3,Afghanistan,Poland,6
4,Argentina,the United States,5
5,Armenian,Armenians,6
6,Armenians,the Ottoman Empire,6
7,Australia,Canada,6
8,Australia,New Zealand,6
9,Austria,Germany,6
10,Austria,Hungary,6
11,Austrian,the Kingdom of Bulgaria,6
12,Austrian,the Ottoman Empire,4
13,Bosnia and Herzegovina,China,4
14,Bosnia and Herzegovina,Rwandan,6
15,Bulgaria,Germany,5
16,Bulgaria,the Ottoman Empire,6
17,Canada,France,6
18,Canada,the United Kingdom,6
19,Canada,the United States,6
20,China,Cuba,12
21,China,France,6
22,China,Germany,5
23,China,Hong Kong,5
24,China,India,6
25,China,Indian,10
26,China,Indochina,6
27,China,Israelis,3
28,China,Pakistan,5
29,China,People's Republic of China,10
30,China,The Indochina Wars:,4
31,China,United States of America,6
32,China,West Germany,6
33,China,the Empire of Japan,6
34,China,the United States,7
35,Cuba,Indochina,6
36,Cuba,Israel,5
37,Cuba,Italy,6
38,Cuba,South Africa,1
39,Cuba,the United States,5
40,Czechoslovakia,East Germany,5
41,Czechoslovakia,Poland,3
42,East Germany,Germany,5
43,East Germany,West Germany,6
44,East Germany,the United States,5
45,Egypt,Israel,12
46,Egypt,Jordan,6
47,Egypt,Ottoman,5
48,Egypt,the Ottoman Empire,6
49,Fascist Italy,Nazi Germany,6
50,Fascist Italy,the Empire of Japan,6
51,France,Germany,12
52,France,Italy,6
53,France,Japan,5
54,France,Rwandan,5
55,France,the United Kingdom,6
56,France,the United States,17
57,Germany,Italy,12
58,Germany,Japan,6
59,Germany,Ottoman,5
60,Germany,Poland,6
61,Germany,Romania,6
62,Germany,Spain,6
63,Germany,the United States,8
64,Hong Kong,the United States,4
65,Hungary,the Ottoman Empire,6
66,India,Indian,6
67,India,Pakistan,6
68,India,the Republic of India,6
69,Indian,the United States,10
70,Ireland,United Kingdom of Great Britain,6
71,Ireland,United States of America,6
72,Israel,Israelis,6
73,Israel,Japan,5
74,Israel,Jordan,4
75,Italy,Japan,11
76,Italy,Ottoman,3
77,Italy,Romania,6
78,Italy,the United States,12
79,Japan,Nazi Germany's,5
80,Japan,United Kingdom of Great Britain,6
81,Japan,the Ottoman Empire,6
82,Japan,the United States,22
83,Nazi Germany,Soviet Ukraine,5
84,Nazi Germany,Spain,9
85,Nazi Germany's,Spain,6
86,Ottoman,the Kingdom of Bulgaria,6
87,Ottoman,the United States,9
88,Poland,the United States,6
89,South Africa,the Republic of India,4
90,South Africa,the United States,11
91,The United States,the United States,4
92,United States,the United States,5
93,the United Kingdom,the United States,12
